Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2017-04-05,@ WSH,0,0,0,-1,0,0,0,0,0,0,0,0,18:07,23,2017,201617,0,18:07,18:07,1087,WSH,WSH
2017-04-08,@ OTT,0,0,0,-1,0,0,0,0,0,0,0,0,13:52,20,2017,201617,0,13:52,13:52,832,OTT,OTT
2017-04-09,vs PIT,0,0,0,0,0,0,0,0,0,0,0,1,14:05,20,2017,201617,1,14:05,14:05,845,PIT,PIT
2015-10-07,@ CHI,0,2,2,2,0,0,0,0,0,0,0,0,12:16,18,2015,201516,0,12:16,12:16,736,CHI,CHI
2015-10-09,@ CBJ,0,1,1,0,0,0,0,0,0,0,0,0,13:12,18,2015,201516,0,13:12,13:12,792,CBJ,CBJ
2015-10-10,vs CBJ,0,1,1,1,0,0,0,0,0,0,0,0,11:19,17,2015,201516,1,11:19,11:19,679,CBJ,CBJ
2015-10-13,vs WPG,0,0,0,-2,0,0,0,0,0,0,0,3,13:31,18,2015,201516,1,13:31,13:31,811,WPG,WPG
2015-10-15,@ MTL,0,0,0,-2,2,0,0,0,0,0,0,2,16:36,21,2015,201516,0,16:36,16:36,996,MTL,MTL
2015-10-18,vs NJD,0,0,0,-1,0,0,0,0,0,0,0,3,14:11,16,2015,201516,1,14:11,14:11,851,NJD,NJD
2015-10-19,vs SJS,0,0,0,0,0,0,0,0,0,0,0,0,13:43,18,2015,201516,1,13:43,13:43,823,SJS,SJS
2015-10-22,vs ARI,0,1,1,0,0,0,0,0,0,0,0,2,13:26,20,2015,201516,1,13:26,13:26,806,ARI,ARI
2015-10-24,@ PHI,1,0,1,0,2,0,0,0,0,0,0,2,15:24,22,2015,201516,0,15:24,15:24,924,PHI,PHI
2015-10-25,vs CGY,0,0,0,2,0,0,0,0,0,0,0,2,15:15,18,2015,201516,1,15:15,15:15,915,CGY,CGY
2015-10-30,vs TOR,0,0,0,0,0,0,0,0,0,0,0,0,15:05,18,2015,201516,1,15:05,15:05,905,TOR,TOR
2015-11-03,vs WSH,0,0,0,1,0,0,0,0,0,0,0,2,16:02,17,2015,201516,1,16:02,16:02,962,WSH,WSH
2015-11-06,@ COL,0,0,0,0,2,0,0,0,0,0,0,1,13:00,18,2015,201516,0,13:00,13:00,780,COL,COL
2015-11-07,@ ARI,1,0,1,2,0,0,0,0,0,1,0,1,9:55,17,2015,201516,0,9:55,9:55,595,ARI,ARI
2015-11-10,vs CAR,0,0,0,0,0,0,0,0,0,0,0,0,11:05,17,2015,201516,1,11:05,11:05,665,CAR,CAR
2015-11-12,vs STL,1,1,2,2,0,0,0,0,0,1,0,2,13:51,20,2015,201516,1,13:51,13:51,831,STL,STL
2015-11-14,@ OTT,0,0,0,0,0,0,0,0,0,0,0,4,15:34,22,2015,201516,0,15:34,15:34,934,OTT,OTT
2015-11-15,vs TOR,0,0,0,0,0,0,0,0,0,0,0,0,14:17,21,2015,201516,1,14:17,14:17,857,TOR,TOR
2015-11-19,@ TBL,0,0,0,-1,0,0,0,0,0,0,0,0,11:36,19,2015,201516,0,11:36,11:36,696,TBL,TBL
