Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
39,2022-01-30,39,23-092,COL,,BUF,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,27,24:27,1,1,0,0,
40,2022-02-01,40,23-094,COL,,ARI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,27,27:43,0,2,0,0,
41,2022-02-10,41,23-103,COL,,TBL,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,30,24:16,2,1,0,0,
42,2022-02-13,42,23-106,COL,@,DAL,W,0,2,2,3,2,0,0,0,0,2,0,0,2,0.0,30,24:58,1,1,0,0,
43,2022-02-15,43,23-108,COL,,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,27,29:23,1,1,0,0,
44,2022-02-16,44,23-109,COL,@,VEG,W,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,27,26:10,1,0,0,0,
45,2022-02-19,45,23-112,COL,@,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,24,23:42,1,0,0,0,
46,2022-02-21,46,23-114,COL,@,BOS,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,27,24:55,0,0,0,0,
47,2022-02-23,47,23-116,COL,@,DET,W,0,2,2,2,0,0,0,0,0,2,0,0,5,0.0,23,23:54,1,1,0,0,
48,2022-02-25,48,23-118,COL,,WPG,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,26,26:11,4,3,0,0,
49,2022-02-26,49,23-119,COL,@,VEG,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,30,27:32,3,1,0,0,
50,2022-03-01,50,23-122,COL,,NYI,W,0,2,2,0,2,0,0,0,0,2,0,0,4,0.0,25,25:59,2,0,0,0,
51,2022-03-03,51,23-124,COL,@,ARI,L,0,1,1,1,0,0,0,0,0,1,0,0,7,0.0,25,25:49,2,0,0,0,
52,2022-03-05,52,23-126,COL,,CGY,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,31,25:02,3,1,0,0,
53,2022-03-07,53,23-128,COL,@,NYI,W,2,1,3,1,0,1,1,0,0,1,0,0,8,25.0,27,25:50,0,2,0,0,
54,2022-03-08,54,23-129,COL,@,NJD,L,1,1,2,-1,0,1,0,0,0,0,1,0,3,33.3,27,25:45,1,4,0,0,
