,Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
220,17-Mar,@ VGK,0,2,2,-1,0,0,1,0,0,0,0,1,22:44,26,2019,1819,0,0:22:44,0:22:44,1364,VGK,OTHER
221,16-Mar,@ ARI,2,1,3,3,0,0,0,1,1,1,1,3,25:29:00,30,2019,1819,0,0:25:29,0:25:29,1529,ARI,OTHER
222,13-Mar,vs NJD,0,2,2,-1,0,0,1,0,0,0,0,3,26:40:00,27,2019,1819,1,0:26:40,0:26:40,1600,NJD,OTHER
223,11-Mar,vs NYR,1,1,2,1,0,1,1,0,0,0,0,5,25:39:00,27,2019,1819,1,0:25:39,0:25:39,1539,NYR,OTHER
224,09-Mar,vs TOR,0,2,2,2,0,0,0,0,0,0,0,4,24:30:00,26,2019,1819,1,0:24:30,0:24:30,1470,TOR,OTHER
225,07-Mar,vs VAN,0,2,2,1,2,0,0,0,0,0,0,3,21:53,24,2019,1819,1,0:21:53,0:21:53,1313,VAN,VAN
226,04-Mar,@ BUF,0,2,2,1,0,0,0,0,1,0,0,1,21:32,30,2019,1819,0,0:21:32,0:21:32,1292,BUF,OTHER
227,02-Mar,@ CBJ,0,3,3,4,0,0,0,0,0,0,0,1,21:14,25,2019,1819,0,0:21:14,0:21:14,1274,CBJ,OTHER
228,28-Feb,@ OTT,1,0,1,1,0,0,0,0,0,0,0,6,24:49:00,26,2019,1819,0,0:24:49,0:24:49,1489,OTT,OTHER
229,27-Feb,@ TOR,0,1,1,-2,0,0,1,0,0,0,0,1,21:52,28,2019,1819,0,0:21:52,0:21:52,1312,TOR,OTHER
230,21-Feb,vs NYI,1,1,2,0,2,0,1,0,0,1,1,4,23:31,21,2019,1819,1,0:23:31,0:23:31,1411,NYI,OTHER
231,16-Feb,@ NYI,0,1,1,-1,0,0,1,0,0,0,0,5,25:52:00,23,2019,1819,0,0:25:52,0:25:52,1552,NYI,OTHER
232,15-Feb,@ CAR,0,0,0,-1,0,0,0,0,0,0,0,4,25:07:00,30,2019,1819,0,0:25:07,0:25:07,1507,CAR,OTHER
233,13-Feb,@ PIT,0,1,1,-2,0,0,0,0,0,0,0,4,25:06:00,27,2019,1819,0,0:25:06,0:25:06,1506,PIT,OTHER
234,09-Feb,vs SJS,0,1,1,-1,0,0,0,0,0,0,0,1,20:49,29,2019,1819,1,0:20:49,0:20:49,1249,SJS,OTHER
235,07-Feb,@ MIN,0,2,2,1,0,0,0,0,0,0,0,1,23:03,27,2019,1819,0,0:23:03,0:23:03,1383,MIN,OTHER
236,05-Feb,vs CHI,0,2,2,-1,0,0,2,0,0,0,0,0,21:35,25,2019,1819,1,0:21:35,0:21:35,1295,CHI,OTHER
237,03-Feb,@ MTL,1,0,1,0,0,1,1,0,0,0,0,2,24:05:00,32,2019,1819,0,0:24:05,0:24:05,1445,MTL,MTL
238,02-Feb,@ PHI,1,1,2,2,0,0,0,0,0,0,0,5,23:25,31,2019,1819,0,0:23:25,0:23:25,1405,PHI,OTHER
