Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
68,2023-03-21,68,25-100,FLA,@,PHI,L,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,21,22:53,0,0,0,1,0.0
69,2023-03-23,69,25-102,FLA,,TOR,L,1,0,1,-2,0,0,1,0,0,0,0,0,4,25.0,21,21:19,3,0,1,0,100.0
70,2023-03-25,70,25-104,FLA,,NYR,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,26,20:44,1,0,0,0,
71,2023-03-27,71,25-106,FLA,@,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,24:48,3,0,0,0,
72,2023-03-29,72,25-108,FLA,@,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,20:59,1,0,0,0,
73,2023-03-30,73,25-109,FLA,@,MTL,W,3,1,4,3,0,2,1,0,1,1,0,0,4,75.0,21,19:07,2,1,0,0,
74,2023-04-01,74,25-111,FLA,@,CBJ,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,17,15:26,1,1,0,0,
75,2023-04-04,75,25-114,FLA,,BUF,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20.0,22,21:33,4,0,0,1,0.0
76,2023-04-06,76,25-116,FLA,,OTT,W,0,2,2,1,17,0,0,0,0,1,1,0,2,0.0,15,11:30,1,0,0,0,
77,2023-04-08,77,25-118,FLA,@,WSH,W,1,2,3,3,2,1,0,0,1,1,1,0,7,14.3,20,22:35,1,0,0,0,
78,2023-04-10,78,25-120,FLA,,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,8,0.0,25,22:34,3,0,0,0,
79,2023-04-13,79,25-123,FLA,,CAR,L,0,1,1,-1,12,0,0,0,0,1,0,0,3,0.0,22,20:22,1,0,0,0,
1,2021-10-16,1,23-309,CGY,@,EDM,L,0,1,1,-1,0,0,0,0,0,0,1,0,9,0.0,28,21:40,2,1,0,0,
2,2021-10-18,2,23-311,CGY,,ANA,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,5,0.0,20,19:31,0,0,0,2,0.0
3,2021-10-21,3,23-314,CGY,@,DET,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,20,17:00,2,1,0,0,
4,2021-10-23,4,23-316,CGY,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,19:15,1,0,0,0,
5,2021-10-25,5,23-318,CGY,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:15,1,2,0,0,
6,2021-10-26,6,23-319,CGY,@,NJD,W,1,0,1,0,2,0,1,0,0,0,0,0,4,25.0,19,14:34,1,0,0,0,
7,2021-10-28,7,23-321,CGY,@,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,15:30,1,0,0,0,
8,2021-10-30,8,23-323,CGY,,PHI,W,1,0,1,1,2,0,1,0,0,0,0,0,7,14.3,24,20:37,0,0,1,1,50.0
9,2021-11-02,9,23-326,CGY,,NSH,L-OT,1,0,1,-1,0,0,1,0,0,0,0,0,6,16.7,24,22:41,0,0,1,0,100.0
10,2021-11-04,10,23-328,CGY,,DAL,L-OT,1,0,1,0,4,0,1,0,0,0,0,0,4,25.0,21,19:33,1,0,0,0,
11,2021-11-06,11,23-330,CGY,,NYR,W,1,3,4,3,2,1,0,0,0,2,1,0,2,50.0,22,14:57,2,0,1,0,100.0
12,2021-11-09,12,23-333,CGY,,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,20:44,1,0,0,0,
13,2021-11-11,13,23-335,CGY,@,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,17:31,1,0,0,0,
14,2021-11-12,14,23-336,CGY,@,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:16,3,0,0,0,
15,2021-11-14,15,23-338,CGY,@,OTT,W,1,0,1,1,0,0,1,0,0,0,0,0,4,25.0,21,18:25,1,0,0,1,0.0
16,2021-11-16,16,23-340,CGY,@,PHI,L-OT,0,0,0,1,6,0,0,0,0,0,0,0,0,,23,18:39,3,0,1,0,100.0
17,2021-11-18,17,23-342,CGY,@,BUF,W,1,2,3,2,0,1,0,0,0,1,1,0,4,25.0,20,14:36,1,0,0,0,
18,2021-11-20,18,23-344,CGY,@,NYI,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,19,15:48,2,0,0,0,
19,2021-11-21,19,23-345,CGY,@,BOS,W,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,20,16:38,2,1,0,0,
20,2021-11-23,20,23-347,CGY,,CHI,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,22,18:30,0,1,1,2,33.3
21,2021-11-27,21,23-351,CGY,,WPG,L,1,0,1,-1,2,1,0,0,0,0,0,0,3,33.3,23,18:18,0,0,2,2,50.0
22,2021-11-29,22,23-353,CGY,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,17:11,0,0,0,0,
23,2021-12-02,23,23-356,CGY,@,LAK,W,1,0,1,1,2,1,0,0,1,0,0,0,7,14.3,22,19:46,3,0,0,0,
24,2021-12-03,24,23-357,CGY,@,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,23,18:22,5,0,1,0,100.0
